ts_offset_sec,bid,ask,mid
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
0,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
1,33,34,33.5
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,32,34,33.0
2,33,34,33.5
2,33,34,33.5
2,33,34,33.5
2,33,34,33.5
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
3,32,34,33.0
